,ds,Valor
452,2021-07-28,756.17648
453,2021-07-29,759.229352
454,2021-07-30,757.659717
455,2021-07-31,757.668803
456,2021-08-01,757.23652
457,2021-08-02,758.125374
458,2021-08-03,757.845943
459,2021-08-04,755.255529
460,2021-08-05,755.024425
461,2021-08-06,750.883429
462,2021-08-07,750.665641
463,2021-08-08,750.040789
464,2021-08-09,748.418074
465,2021-08-10,747.398419
466,2021-08-11,748.623595
467,2021-08-12,748.398384
468,2021-08-13,751.965992
469,2021-08-14,752.299047
470,2021-08-15,751.860236
471,2021-08-16,751.078398
472,2021-08-17,746.100249
473,2021-08-18,745.842275
474,2021-08-19,742.637029
475,2021-08-20,744.114301
476,2021-08-21,744.346756
477,2021-08-22,743.774681
478,2021-08-23,747.018894
479,2021-08-24,747.341364
480,2021-08-25,748.32218
481,2021-08-26,746.295978
482,2021-08-27,748.430494
483,2021-08-28,748.82715
484,2021-08-29,749.025935
485,2021-08-30,748.326151
486,2021-08-31,748.898697
487,2021-09-01,750.256804
488,2021-09-02,751.649563
489,2021-09-03,751.663074
490,2021-09-04,751.549944
491,2021-09-05,751.613615
492,2021-09-06,750.953048
493,2021-09-07,748.746802
494,2021-09-08,743.03429
495,2021-09-09,741.683043
496,2021-09-10,738.452126
497,2021-09-11,738.238273
498,2021-09-12,738.155409
499,2021-09-13,736.425992
500,2021-09-14,734.144373
501,2021-09-15,731.729166
502,2021-09-16,725.862782
503,2021-09-17,722.922528
504,2021-09-18,723.269612
505,2021-09-19,723.756005
506,2021-09-20,721.304752
507,2021-09-21,717.270061
508,2021-09-22,709.102097
509,2021-09-23,708.159242
510,2021-09-24,704.109202
511,2021-09-25,703.900131
512,2021-09-26,704.058978
513,2021-09-27,702.501453
514,2021-09-28,701.946153
515,2021-09-29,695.751513
516,2021-09-30,693.749695
517,2021-10-01,694.240395
518,2021-10-02,693.810287
519,2021-10-03,694.816875
520,2021-10-04,695.129914
521,2021-10-05,694.535373
522,2021-10-06,691.599054
523,2021-10-07,691.735581
524,2021-10-08,692.184536
525,2021-10-09,691.917204
526,2021-10-10,692.159354
527,2021-10-11,690.626091
528,2021-10-12,689.40803
529,2021-10-13,692.890512
530,2021-10-14,692.705248
531,2021-10-15,693.14455
532,2021-10-16,692.90054
533,2021-10-17,692.671702
534,2021-10-18,693.315155
535,2021-10-19,694.598746
536,2021-10-20,695.061854
537,2021-10-21,693.409378
538,2021-10-22,694.729246
539,2021-10-23,694.757348
540,2021-10-24,695.157739
541,2021-10-25,692.87252
542,2021-10-26,691.706568
543,2021-10-27,692.045141
544,2021-10-28,696.970544
545,2021-10-29,690.051197
546,2021-10-30,690.067502
547,2021-10-31,689.620574
548,2021-11-01,692.421571
549,2021-11-02,690.847073
550,2021-11-03,693.060947
551,2021-11-04,689.053431
552,2021-11-05,689.502976
553,2021-11-06,688.968399
554,2021-11-07,689.872769
555,2021-11-08,691.116319
556,2021-11-09,691.745281
557,2021-11-10,684.975887
558,2021-11-11,682.728652
559,2021-11-12,682.815345
560,2021-11-13,684.719493
561,2021-11-14,685.382345
562,2021-11-15,678.380051
563,2021-11-16,675.584619
564,2021-11-17,675.522818
565,2021-11-18,678.503124
566,2021-11-19,673.627361
567,2021-11-20,673.646148
568,2021-11-21,670.244163
569,2021-11-22,656.87559
570,2021-11-23,657.741341
571,2021-11-24,655.047307
572,2021-11-25,661.693655
573,2021-11-26,661.853483
574,2021-11-27,661.739994
575,2021-11-28,660.663226
576,2021-11-29,648.585131
577,2021-11-30,640.34922
578,2021-12-01,639.541281
579,2021-12-02,637.961865
580,2021-12-03,638.767707
581,2021-12-04,638.68606
582,2021-12-05,638.821868
583,2021-12-06,636.170104
584,2021-12-07,635.556316
585,2021-12-08,639.452814
586,2021-12-09,641.96829
587,2021-12-10,643.101641
588,2021-12-11,642.534524
589,2021-12-12,642.296439
590,2021-12-13,630.782677
591,2021-12-14,628.506601
592,2021-12-15,629.958673
593,2021-12-16,631.634979
594,2021-12-17,638.172181
595,2021-12-18,638.309847
596,2021-12-19,638.214523
597,2021-12-20,638.412624
598,2021-12-21,637.504075
599,2021-12-22,638.988948
600,2021-12-23,639.05581
601,2021-12-24,638.612338
602,2021-12-25,638.621468
603,2021-12-26,639.068658
604,2021-12-27,638.450435
605,2021-12-28,636.783701
606,2021-12-29,638.741072
607,2021-12-30,623.054433
608,2021-12-31,625.96485
609,2022-01-01,625.789276
610,2022-01-02,630.041859
611,2022-01-03,625.613754
612,2022-01-04,624.199678
613,2022-01-05,624.857459
614,2022-01-06,622.944442
615,2022-01-07,626.467257
616,2022-01-08,626.222273
617,2022-01-09,629.272615
618,2022-01-10,623.172029
619,2022-01-11,607.562917
620,2022-01-12,605.859399
621,2022-01-13,606.919949
622,2022-01-14,604.515646
623,2022-01-15,604.41012
624,2022-01-16,610.867823
625,2022-01-17,611.49167
626,2022-01-18,606.803198
627,2022-01-19,598.968223
628,2022-01-20,602.673387
629,2022-01-21,600.890976
630,2022-01-22,600.597755
631,2022-01-23,600.498907
632,2022-01-24,599.98576
633,2022-01-25,597.102384
634,2022-01-26,593.739752
635,2022-01-27,589.237041
636,2022-01-28,589.597909
637,2022-01-29,589.499014
638,2022-01-30,589.143975
639,2022-01-31,594.023697
640,2022-02-01,592.887919
641,2022-02-02,593.308516
642,2022-02-03,597.192234
643,2022-02-04,597.54924
644,2022-02-05,597.669284
645,2022-02-06,595.040857
646,2022-02-07,597.376858
647,2022-02-08,595.52267
648,2022-02-09,595.694529
649,2022-02-10,604.23466
650,2022-02-11,598.964992
651,2022-02-12,598.679087
652,2022-02-13,598.455827
653,2022-02-14,596.372412
654,2022-02-15,597.516631
655,2022-02-16,585.698869
656,2022-02-17,584.983834
657,2022-02-18,574.230266
658,2022-02-19,574.209661
659,2022-02-20,574.367397
660,2022-02-21,568.692609
661,2022-02-22,565.497933
662,2022-02-23,564.280033
663,2022-02-24,556.347404
664,2022-02-25,559.772147
665,2022-02-26,559.669395
666,2022-02-27,553.512363
667,2022-02-28,557.107985
668,2022-03-01,551.850894
669,2022-03-02,551.893784
670,2022-03-03,546.41421
671,2022-03-04,540.012876
672,2022-03-05,539.642945
673,2022-03-06,519.864041
674,2022-03-07,515.439667
675,2022-03-08,517.492762
676,2022-03-09,524.69775
677,2022-03-10,519.436198
678,2022-03-11,516.071034
679,2022-03-12,515.930514
680,2022-03-13,513.117272
681,2022-03-14,513.79121
682,2022-03-15,504.659301
683,2022-03-16,503.398559
684,2022-03-17,504.951567
685,2022-03-18,504.486651
686,2022-03-19,504.101103
687,2022-03-20,503.338904
688,2022-03-21,502.096375
689,2022-03-22,500.295072
690,2022-03-23,498.9581
691,2022-03-24,501.288177
692,2022-03-25,500.054867
693,2022-03-26,500.261302
694,2022-03-27,499.883845
695,2022-03-28,495.003974
696,2022-03-29,498.823529
697,2022-03-30,499.537786
698,2022-03-31,495.813839
699,2022-04-01,490.713418
700,2022-04-02,490.73968
701,2022-04-03,490.794022
702,2022-04-04,487.339928
703,2022-04-05,484.029685
704,2022-04-06,482.153925
705,2022-04-07,477.04123
706,2022-04-08,476.750138
707,2022-04-09,476.770446
708,2022-04-10,477.448172
709,2022-04-11,476.952776
710,2022-04-12,455.592667
711,2022-04-13,457.954571
712,2022-04-14,455.967469
713,2022-04-15,455.510593
714,2022-04-16,455.523709
715,2022-04-17,461.67703
716,2022-04-18,451.552164
717,2022-04-19,447.958589
718,2022-04-20,446.676351
